atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,structure_chemistry_incompatibility,chemical_in_structural_metric,charge_weighted_local_size,elf_weighted_local_anisotropy
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935648,0.894641,-340.9954499514106,11108.143502597344,0.21684965843438023,0.0,2.0717887278992737e-24,1.0400948824477456,3.0314715716406377,,6.095475285680473e-17,5.471472591403753e-29,17.693104316326927,4.1799127721033864e-16,1.0,2.2725872111188106,196.5570809358923,196.40423301175764,1.1864869625789771e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935575,0.894641,-340.99546306188245,11108.143495441285,0.2168554823404497,0.0,2.240702672141185e-24,1.0400935514957688,3.03147009287174,,1.8286425857041411e-16,1.9050990861087435e-28,17.693104316326934,2.917505717549676e-16,1.0,1.8812466343876508,196.55708093589232,185.7955715154183,4.131311812244615e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.2097322920293562,0.894641,-340.9954630618824,11108.143495419288,0.2168554823404495,0.0,2.243593473077707e-24,1.0400935514957845,3.0314700928717238,,2.3607674268659364e-16,1.692413826117184e-28,17.693104316326934,2.4132737641630435e-16,1.0,0.8775640471571945,196.55708093589243,185.7955715154183,3.670092165822875e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.2097322920293555,0.8946400000000025,-340.9954763039413,11108.143488303685,0.21686029468576612,0.0,2.468194181725644e-24,1.0400918192895499,3.0314691376258103,,2.0216404441486511e-16,1.904813405893653e-28,17.693104316326938,5.227569709711838e-16,1.0,0.48560779953363775,196.5570809358925,169.88260581056565,4.130783965234954e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935612,0.894641,-340.99546306188194,11108.14349543009,0.21685548234044852,0.0,2.2435934730776013e-24,1.0400935514956875,3.03147009287164,,2.280718012856434e-16,1.7926864071147493e-28,17.693104316326934,2.917505717549676e-16,1.0,2.2507806907639827,196.55708093589232,185.7955715154183,3.887538755000346e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935545,0.8946400000000025,-340.99547630393937,11108.143488308204,0.21686029468576415,0.0,2.468194181725629e-24,1.0400918192895776,3.031469137625832,,2.1115345782157985e-16,2.335028279454195e-28,17.693104316326938,2.4132737641630425e-16,1.0,1.6639137060980962,196.55708093589237,169.88260581056568,5.063749207820295e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935567,0.8946400000000025,-340.995476303938,11108.143488293277,0.21686029468576584,0.0,2.4925678623120347e-24,1.0400918192895368,3.031469137625873,,2.7259794187902966e-16,3.473267319653618e-28,17.69310431632694,2.917505717549675e-16,1.0,2.033062555266338,196.55708093589243,169.88260581056565,7.532137744625237e-29
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935503,0.8946400000000025,-340.9954892852349,11108.143481160983,0.21686428249151155,0.0,2.865790083773541e-24,1.0400896359457745,3.0314683506626325,,3.757503320580002e-16,5.174927538249837e-28,17.69310431632695,1.1592992174450434e-16,1.0,2.067284928189002,196.5570809358925,148.66538897651256,1.1222569475281153e-28
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691594,1.2062310000000025,-215.17593404520835,4206.453437855589,0.16009789190423226,0.0,1.9234237378878118e-22,1.1412185460441295,0.5142400740240735,4.998040554259459,1.7240607636238679e-16,2.7610131682735413e-30,8.846552158163467,6.693217152632188e-17,1.0,1.1635635011882368,19.420689114747816,37.166320704471715,4.420323877604193e-31
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691572,1.2062310000000025,-215.17593404520684,4206.453437855646,0.16009789190423343,0.0,1.923423737888205e-22,1.1412185460441304,0.5142400740240693,4.9980405542592585,3.2825138991204616e-16,4.141519752410312e-30,8.846552158163467,2.0079651457896565e-16,1.0,0.9581711193339233,19.42068911474782,39.81849050183263,6.630485816406337e-31
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.896814011469157,1.2062310000000025,-215.17593404520608,4206.453437855598,0.16009789190423368,0.0,1.9234237378875147e-22,1.1412185460441504,0.5142400740240568,4.998040554259379,3.2825138991204616e-16,1.0452406994178406e-29,8.846552158163467,2.9175057175496757e-16,1.0,1.20914788307709,19.420689114747816,39.81849050183263,1.6734083250930304e-30
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691558,1.2062310000000025,-215.17593404520727,4206.453437855609,0.1600978919042323,0.0,1.9234237378876576e-22,1.1412185460441269,0.5142400740240599,4.998040554259517,3.7077328672096012e-16,3.5695955961250784e-29,8.846552158163469,1.159299217445044e-16,1.0,1.2441839129446348,19.420689114747816,42.47066029919355,5.714847298902564e-30
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691585,1.2062310000000025,-215.17593404521008,4206.453437855307,0.16009789190423285,0.0,1.923423737888205e-22,1.1412185460441244,0.5142400740240609,4.998040554259277,2.280718012856434e-16,3.944304526105059e-30,8.846552158163467,2.4132737641630435e-16,1.0,1.242683891200545,19.420689114747816,39.81849050183262,6.314748396577441e-31
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691574,1.2062310000000025,-215.1759340452124,4206.453437855333,0.16009789190423399,0.0,1.923423737888331e-22,1.141218546044133,0.5142400740240627,4.9980405542594495,2.8590313343569913e-16,2.9187853493177437e-29,8.846552158163467,2.0079651457896565e-16,1.0,1.29122152755294,19.420689114747816,42.47066029919354,4.67291381346734e-30
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691572,1.2062310000000025,-215.17593404521153,4206.453437855356,0.16009789190423473,0.0,1.923423737888282e-22,1.1412185460441164,0.5142400740240708,4.998040554259137,4.134152479146971e-16,1.4199496293978212e-29,8.846552158163469,1.770858805681661e-16,1.0,0.9673775369877053,19.420689114747816,42.470660299193554,2.2733094227679058e-30
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691519,1.2062310000000025,-215.17593404520767,4206.453437855396,0.160097891904233,0.0,1.9234237378880958e-22,1.1412185460441153,0.514240074024051,4.998040554259573,5.172182290871602e-16,2.68212707775144e-29,8.84655215816347,1.3386434305264368e-16,1.0,0.814760635796882,19.420689114747827,45.12283009655448,4.294028909672664e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661717,-0.7002030000000019,-207.3490663966752,2246.5336124491505,0.2128477417067345,0.0,1.7321943181325418e-22,0.9668519160773205,2.681106543844753,,0.1530096874093536,8.085824278515371e-30,14.744253596939108,0.19999999999999993,1.0,0.6033714952801299,19.085903549110906,82.83342607600505,1.7210494375194825e-30
