site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
0,70.77241726530772,1.2853273816176364e-14,3.623340229504956e-15,1.2853273816176364e-14,70.77241726530771,1.4932606404132937e-15,3.623340229504956e-15,1.4932606404132937e-15,70.77241726530771
1,70.77241726530771,1.2145828316793541e-14,3.552713678800501e-15,1.2145828316793541e-14,70.77241726530771,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002505e-15,70.77241726530777
2,70.77241726530771,1.2807648819062672e-14,3.552713678800501e-15,1.2807648819062672e-14,70.77241726530777,6.82233115861405e-15,3.552713678800501e-15,6.82233115861405e-15,70.77241726530772
3,70.77241726530771,1.2453926069371264e-14,8.881784197001252e-15,1.2453926069371264e-14,70.77241726530777,7.105427357601002e-15,8.881784197001252e-15,7.105427357601002e-15,70.77241726530778
4,70.77241726530777,1.1486787438790908e-14,5.000349322100105e-15,1.1486787438790908e-14,70.77241726530771,7.105427357601002e-15,5.000349322100105e-15,7.105427357601002e-15,70.77241726530772
5,70.77241726530777,1.2352153359934186e-14,9.619180605163281e-15,1.2352153359934186e-14,70.77241726530771,8.799439681133686e-15,9.619180605163281e-15,8.799439681133686e-15,70.77241726530778
6,70.77241726530778,1.053017152342025e-14,3.552713678800501e-15,1.053017152342025e-14,70.77241726530777,6.822331158614051e-15,3.552713678800501e-15,6.822331158614051e-15,70.77241726530772
7,70.77241726530778,1.053017152342025e-14,3.552713678800501e-15,1.053017152342025e-14,70.77241726530777,0.0,3.552713678800501e-15,0.0,70.7724172653078
8,17.693104316326934,2.6417227605435297e-15,1.3208613802717652e-15,2.6417227605435297e-15,17.69310431632693,1.320861380271765e-15,1.3208613802717652e-15,1.320861380271765e-15,17.693104316326934
9,17.693104316326934,2.6417227605435297e-15,5.28344552108706e-15,2.6417227605435297e-15,17.69310431632693,5.2834455210870585e-15,5.28344552108706e-15,5.2834455210870585e-15,17.693104316326934
10,17.693104316326934,2.6417227605435304e-15,1.3208613802717652e-15,2.6417227605435304e-15,17.69310431632694,1.3208613802717658e-15,1.3208613802717652e-15,1.3208613802717658e-15,17.69310431632693
11,17.693104316326934,2.6417227605435304e-15,0.0,2.6417227605435304e-15,17.69310431632694,0.0,0.0,0.0,17.693104316326938
12,17.693104316326938,5.2834455210870585e-15,1.3208613802717654e-15,5.2834455210870585e-15,17.69310431632693,1.320861380271765e-15,1.3208613802717654e-15,1.320861380271765e-15,17.69310431632693
13,17.693104316326934,5.2834455210870585e-15,0.0,5.2834455210870585e-15,17.69310431632693,0.0,0.0,0.0,17.693104316326938
14,17.69310431632694,0.0,1.3208613802717646e-15,0.0,17.69310431632694,1.3208613802717646e-15,1.3208613802717646e-15,1.3208613802717646e-15,17.69310431632693
15,17.69310431632694,0.0,0.0,0.0,17.69310431632694,0.0,0.0,0.0,17.69310431632695
