atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_atomic_incompatibility,variance_atomic_incompatibility,avg_bader_charge,variance_bader_charge,avg_vectorial_asymmetry,max_vectorial_asymmetry,avg_bond_alignment,variance_bond_alignment,avg_bond_gradient,max_bond_gradient,avg_bond_distance,variance_bond_distance,geometric_centroid_density,geometric_centroid_elf,geometric_centroid_laplacian_of_density,structural_tensor_product_trace,total_density_gradient_flux,point_group_reduction_factor,structure_tensor_normal_projection,hierarchical_stress_flow
2,18,38,Cs,Br,Br,7.661338904873611,0.5483113556160752,0.6461709275204177,0.7806190256713291,0.005151634681729996,-0.16858866666666708,0.5652286620402228,1.1301456415351373e-28,1.692413826117184e-28,0.6503985403163369,0.0031870856418606654,2106.7383900576497,2106.738396079437,4.206317191597292,0.0,0.17374110539398654,0.6915598692838295,0.018388505605482275,177240.143308396,-3498.9894554751954,0.6,129.74943165306414,6.026637177818287e-13
3,18,25,Cs,Br,Br,7.661338904873616,0.5483113556160758,0.6461709275204174,0.652591284892212,0.01426780109191172,-0.16858899999999957,0.565227953220669,7.986264397979109e-29,1.904813405893653e-28,0.7974284018319691,0.020493810060480844,2106.738388365998,2106.738394387782,4.206317191597293,7.888609052210118e-31,0.17374111256277003,0.6915650058515989,0.016101571812772116,177240.14330839604,-1240.898878960714,0.6,129.74943165306416,5.80024541633085e-13
0,10,24,Cs,Pb,Br,6.2554570211578735,0.15632602640857365,0.8548952345520056,1.5087573435140225,0.29623416061984936,0.46688966666666687,0.6972340343102249,3.178035417763988e-29,5.471472591403753e-29,0.6425371416279926,9.455258089039382e-11,1382.8432995540443,2106.738385742351,3.590316300798646,0.37945709746472545,0.055584089323957725,0.3352005700765407,0.00415018496442078,110775.08956774745,-3888.8476968861078,0.42857142857142855,123.85173021428855,3.422219758881418e-13
1,18,32,Cs,Br,Br,7.661338904873612,0.5483113556160758,0.6461709275204172,1.172920056701452,0.25330815006512886,-0.1685883333333346,0.5652283076302237,1.2674365210550922e-28,1.9050990861087435e-28,0.7834071211002656,0.035768696386887004,2106.738384041094,2106.7383840410967,4.206317191597293,7.888609052210118e-31,0.1737412228018304,0.6915727527345494,0.016101454471955545,177240.143308396,-33180.65708529097,0.6,129.74943165306416,5.402381136068014e-13
2,7,38,Cs,Cs,Br,0.0,2.193245378328225,0.0,1.216981211883059,0.3664084967532089,0.36302566666666775,0.5652286620402226,2.8386868854263117e-28,5.1749275382498365e-28,0.799427001840451,0.008569979229913332,2106.738394384568,2106.738396079437,4.206317191597295,5.127595883936577e-30,2246.5335617901274,0.21284834940490965,-7830.50940075629,443100.35827099043,0.0,0.42857142857142855,0.0,0.0
3,6,38,Cs,Cs,Br,1.2434497875801753e-14,2.1932453930402507,0.0,1.0749216717009853,0.46711938567501726,0.36302533333333525,0.5652283076302237,2.3422666724863953e-28,3.473267319653618e-28,0.80684781039318,0.009730825154236001,2106.7383943865516,2106.7383943877885,4.206317191597293,3.944304526105059e-31,2246.5335617901274,0.21284834940490965,-7830.50940075629,443100.35827099043,0.0,0.42857142857142855,0.0,0.0
7,12,35,Cs,Pb,Br,6.255457021157875,0.15632602640857357,0.8548952345520058,1.3897864524517247,0.2539877247521784,0.4668890000000019,0.6972345272046682,2.03526113547021e-28,5.1749275382498365e-28,0.8295077166364637,0.010286325399415354,1382.8433115437715,2106.738392689704,3.5903163007986465,0.3794570974647271,0.05558405213237831,0.33516970769747795,0.004150274222256473,110775.0895677476,2284.8821033527147,0.42857142857142855,123.8517302142886,2.9663689429731393e-13
2,11,26,Cs,Pb,Br,6.255457021157876,0.15632602640857376,0.8548952345520058,1.030063527107574,0.024300255686147756,0.4668893333333344,0.6972348123722231,1.2326975592138689e-28,1.692413826117184e-28,0.6295360985751215,0.002723360788652044,1382.8433132386876,2106.738396079438,3.5903163007986465,0.37945709746472384,0.055584068707856815,0.3351966438609161,0.004150276298376055,110775.08956774749,-3888.8476981520794,0.42857142857142855,123.85173021428852,3.69068800333846e-13
0,3,21,Cs,Cs,Br,3.552713678800501e-15,2.1932453930402507,0.0,1.203607435128949,0.593809432380571,0.36302600000000024,0.5652279532206689,8.994932326385315e-29,1.904813405893653e-28,0.7355043271965827,0.005155908975277087,2106.7383840432803,2106.7383857423515,4.206317191597293,3.944304526105059e-31,2246.5336124492533,0.2128477417067355,-5972.671492572972,443100.3582709899,0.0,0.42857142857142855,0.0,0.0
6,22,33,Cs,Br,Br,7.661338904873612,0.5483113556160758,0.6461709275204172,1.1951894840762132,0.375640221917992,-0.16858899999999957,0.565227953220669,1.7954183382715238e-28,3.473267319653618e-28,0.763355241262908,0.020574825498491642,2106.7383883635384,2106.738394385315,4.206317191597291,1.9721522630525295e-30,0.17374111256277455,0.6915650058515881,0.016101571812764226,177240.14330839604,-2000.6447455018335,0.6,129.7494316530642,4.0974373895862675e-13
7,26,37,Cs,Br,Br,7.661338904873624,0.5483113556160755,0.6461709275204176,1.3050142385242622,0.2918522527018316,-0.16858933333333206,0.5652283076302237,2.563797941968288e-28,5.1749275382498365e-28,0.8312149904239481,0.014772348928469242,2106.738392689691,2106.7383926897014,4.206317191597295,7.888609052210118e-31,0.17374101236923914,0.6915601283032983,0.016101660878048565,177240.14330839622,-759.7458550139611,0.6,129.74943165306425,3.174095290620322e-13
1,21,24,Cs,Br,Br,1.7763568394002505e-15,2.193245422464302,0.0,1.2594702884894051,0.19944113058321364,-0.1685883333333346,0.5652283076302237,8.177858050791156e-29,1.9050990861087435e-28,0.9673314679482714,2.7058639772853534e-05,2106.7383840410857,2106.7383840410857,4.206317191597293,7.888609052210118e-31,1198.6347550081982,0.2540017628791882,-2647.4988845644175,199395.16122194548,0.0,0.6,0.0,0.0
4,22,34,Cs,Br,Br,8.846552158163465,0.13707783890401923,0.8915188114208267,1.2293657309735997,0.5337214649657731,-0.1685883333333346,0.5652283076302237,9.380870931253199e-29,1.792686407114749e-28,0.7393004066186897,0.008010456508944247,2106.7383840384473,2106.738384038452,4.206317191597293,3.944304526105059e-31,0.015549202507673185,0.0356682875110569,0.0019041108340591137,199395.16122194554,4562.96978069253,0.6,106.15862589796157,3.074542120955317e-13
1,29,37,Cs,Br,Br,7.661338904873609,0.0,0.9999999999999998,1.2132923222378118,0.22308148155978225,-0.16858866666666708,0.5652286620402228,1.024861792699631e-28,1.9050990861087435e-28,0.5942809822751761,0.0,2106.738390062874,2106.738396084648,4.206317191597292,0.0,0.012146140926296477,0.008993260239903718,0.0010617880943678448,177240.14330839604,-2739.2435889754806,0.6,129.74943165306422,2.714570611081632e-13
3,21,26,Cs,Br,Br,7.661338904873617,1.8078062411314853e-31,1.0,0.7688925718296428,0.0423606627489286,-0.16858899999999957,0.565227953220669,1.2666839102290445e-28,1.904813405893653e-28,0.7738005586710313,0.0011228146784486236,2106.7383883659995,2106.73839438779,4.206317191597294,7.888609052210118e-31,0.012146141340481104,0.008993003999480572,0.0010617886517075537,177240.14330839607,2000.6447321550424,0.6,129.74943165306416,3.7134115446916725e-13
4,33,34,Cs,Br,Br,7.661338904873614,0.5483113556160752,0.6461709275204175,1.357492179466761,0.401193614987079,-0.16858866666666708,0.5652286620402227,1.353553836541719e-28,1.792686407114749e-28,0.643473077163841,4.002050001250889e-05,2106.7383900602235,2106.7383960820043,4.206317191597292,7.888609052210118e-31,0.17374110539398804,0.6915598692838326,0.018388505605474725,177240.14330839601,-1847.9289575358223,0.6,129.74943165306422,4.622541167188619e-13
1,10,24,Cs,Pb,Br,6.2554570211578735,0.15632602640857343,0.8548952345520056,1.3783104846036356,0.1309885126770598,0.46688966666666687,0.6972340343102249,7.704541507658549e-29,1.9050990861087435e-28,0.8075400626842443,0.02722275513584414,1382.8432987034116,2106.7383840410857,3.590316300798646,0.37945709746472545,0.05558408071710668,0.3351832180474797,0.004150179850347233,110775.08956774749,1498.344241771067,0.42857142857142855,123.85173021428858,3.2515506384330085e-13
3,21,35,Cs,Br,Br,7.661338904873613,0.5483113556160757,0.6461709275204173,0.7325418774112209,0.03049584298512696,-0.16858899999999957,0.565227953220669,1.0142484205583208e-28,1.904813405893653e-28,0.7216442084188781,0.007338454057658258,2106.7383883660013,2106.738394387793,4.206317191597293,3.944304526105059e-31,0.17374111256277402,0.6915650058516012,0.016101571812763213,177240.14330839607,-2000.6447455021573,0.6,129.74943165306416,6.422871967266294e-13
0,28,32,Cs,Br,Br,7.661338904873609,3.2869204384208823e-32,0.9999999999999997,1.304539526930841,0.4708630787669858,-0.1685883333333346,0.5652283076302237,8.384517392222665e-29,1.84790667048022e-28,0.9673656327767763,7.146688196226891e-07,2106.7383857423724,2106.738385742381,4.206317191597291,7.888609052210118e-31,0.012146143478095202,0.008993786747193734,0.0010617813347921917,177240.143308396,13851.084946591034,0.6,129.74943165306422,2.875707502612696e-13
0,17,32,Cs,Br,Br,0.0,2.193245407752276,0.0,1.292721219487447,0.48397292939588493,-0.1685883333333346,0.5652283076302237,8.154432961533203e-29,1.84790667048022e-28,0.9643150716018585,4.862820166083997e-06,2106.73838574237,2106.7383857423765,4.206317191597291,7.888609052210118e-31,11108.143502597251,0.21684965843438037,-29728.52583629885,199395.16122194543,0.0,0.6,0.0,0.0
5,30,32,Cs,Br,Br,7.66133890487362,0.5483113556160758,0.6461709275204175,1.197447247304086,0.11360068860823314,-0.16858899999999957,0.565227953220669,1.4054871794687693e-28,2.335028279454195e-28,0.8256290722024471,3.4468659586268866e-05,2106.738388367085,2106.738394388876,4.206317191597294,3.1554436208840472e-30,0.17374111256275773,0.6915650058515947,0.016101571812794674,177240.14330839607,16590.328534535576,0.6,129.74943165306416,6.679212520994339e-13
5,7,30,Cs,Cs,Br,8.846552158163465,0.13707783890401884,0.8915188114208269,1.593437167979456,0.17526252801042144,0.36302533333333525,0.5652283076302237,2.5144941353919747e-28,5.1749275382498365e-28,0.8913147446302617,0.0035777948482869706,2106.738393539294,2106.738394388876,4.206317191597292,0.0,0.0216956515459674,0.18651776540966775,0.0016790802529047036,443100.35827099025,-3.7242631746928897e-10,0.42857142857142855,159.23793884694248,4.803999512401359e-13
2,3,27,Cs,Cs,Br,8.846552158163473,0.13707783890401862,0.8915188114208271,0.6790192535746936,0.025618125595947044,0.36302600000000024,0.5652279532206689,1.8150446341636857e-28,1.904813405893653e-28,0.7304882427507915,0.0006962986063917528,2106.7383831900256,2106.7383840358502,4.206317191597294,3.1554436208840472e-30,0.02169571120747749,0.18652328465243406,0.001800452184293302,443100.3582709902,-877.8321764694674,0.42857142857142855,159.23793884694234,5.070511602911153e-13
6,26,30,Cs,Br,Br,7.661338904873611,0.5483113556160754,0.6461709275204174,1.3502060153794997,0.23423114186341554,-0.16858933333333206,0.5652283076302237,1.7185044000124754e-28,3.473267319653618e-28,0.6157729419487277,0.0005285915201783294,2106.738394385322,2106.7383943853265,4.206317191597291,7.888609052210118e-31,0.17374100316332705,0.6915541151634288,0.018388589302940767,177240.14330839604,2258.0905650078753,0.6,129.7494316530642,5.13023587263502e-13
