atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_atomic_incompatibility,variance_atomic_incompatibility,avg_bader_charge,variance_bader_charge,avg_vectorial_asymmetry,max_vectorial_asymmetry,avg_bond_alignment,variance_bond_alignment,avg_bond_gradient,max_bond_gradient,avg_bond_distance,variance_bond_distance,geometric_centroid_density,geometric_centroid_elf,geometric_centroid_laplacian_of_density,structural_tensor_product_trace,total_density_gradient_flux,point_group_reduction_factor,structure_tensor_normal_projection,hierarchical_stress_flow
6,29,36,Cs,I,I,7.892259756232592,0.10644471248448972,0.9134987248975301,0.5865477908709799,0.09956358957459309,-0.1308203333333348,0.44691861313089193,0.680270960671146,1.1424426431007162,0.8787978313106226,0.0048812683112662,647.0175634077804,1015.5574240178872,3.9769277526585634,0.0007733989518710209,0.022564216429097173,0.03788210173298287,0.0027012680766450967,77383.20493732434,2177.0888325298674,1.0,87.64171511519652,29.57378220585092
2,8,21,Cs,Pb,I,5.261584396798831,0.7891151862110615,0.5186946873018077,0.9214435309391747,0.2945594406186354,0.40255133333333504,0.44727692751755904,0.6301941000301485,1.1424426431007166,0.678475200945752,0.01592563726543214,921.23459770147,1238.003301283549,3.7918600391905533,0.2453815971374307,0.5499229223770041,0.6505649745322157,0.021116141804897542,73367.45762602893,2099.4527406668003,1.0,102.97467346332803,5.0915660398740155
9,20,32,Pb,I,I,5.4155476056284035,0.18284292850410258,0.8600492591206444,1.251595734572147,0.016529595579034252,-0.049120999999999526,0.48334898563200474,0.28270568390493783,0.648162262264251,0.5522783813921234,5.0794014130082305e-28,1238.0079344245023,1238.0125675630277,3.296487634197618,1.5219719955427397e-10,0.10220966842326538,0.18952998124161438,0.009726661764810294,35893.58114639645,-3460.8052309845107,1.0,78.26564725706214,3.898568712879103
12,28,33,Pb,I,I,5.356138122702215,0.09197378986958289,0.9242350451722375,1.1759760686858785,0.04171557211635712,-0.06293433333333336,0.4973119818275608,0.5463168044715427,0.8908107564250316,0.5671270847446854,0.00022048399125297282,1178.8834440463427,1238.0033012861434,3.280366644438857,0.0002602842265907157,0.08042874349155284,0.11298813449709252,0.0071131325894848,33578.00146412793,6755.137040574502,1.0,76.41710246499639,11.935752309368675
0,2,38,Cs,Cs,I,7.645991152525844,0.23972351545230355,0.8228711964791434,1.17639094069218,0.6771551631291679,0.3346653333333336,0.4600834787555585,0.7641482562297671,1.1424426431010772,0.8445772172668846,0.010834038650395929,279.2229245036757,279.9679774859224,3.9386058920158478,0.00011044783917683719,0.08592359724523607,0.6542197790239621,0.005163606810879844,176778.27714536292,-472.8229859879374,1.0,119.22952949145053,40.73000730877752
5,34,39,Cs,I,I,5.196383895276135,1.0275632985760998,0.42043093233481055,1.344077848984474,0.3959523198820228,-0.11700700000000097,0.4348310808286693,0.4166598401046488,1.1424426431011137,0.8766679629588776,0.00518341573066517,441.4717984586779,604.4658941170428,4.118168904372542,0.02857830923169607,1.1503808866818779,0.6844302777406421,0.05673451752374483,85463.25232314088,-915.348329091371,1.0,95.45593832375424,10.064926848889538
4,30,38,Cs,I,I,7.552693789242793,0.014994913776754581,0.9860484682495086,1.4643587346634914,0.2635211287001809,-0.1308203333333348,0.44691861313089193,0.6802709606707452,1.1424426430986616,0.8787978313106375,0.004881268311262904,404.92418824511384,531.3706736965933,4.01227960197363,0.0039894256859935775,0.0183707763574029,0.013495830478345874,0.001461093783841933,77383.20493733347,-1843.295375728121,1.0,96.1581506966244,27.38103891752537
9,13,20,Pb,Pb,I,5.415547605628761,0.18284292850412867,0.860049259120627,1.3425066678503537,0.016529595579026283,0.44248300000000285,0.4833489856320046,0.465433973084629,0.6481622622644598,0.5522783813921304,8.754199006415517e-28,1238.0079344238188,1238.012567561661,3.2964876341977316,1.5219719674372655e-10,0.16960081893795012,0.628471555069449,0.008156177955408907,30129.415233063875,-3442.761308180216,1.0,71.23511932689122,3.8985687128828213
1,13,20,Cs,Pb,I,6.668960363731535,0.1955341803171929,0.8430425745895828,1.5933312167351659,0.18796089188198675,0.40255133333333504,0.44727692751755904,0.6301941000293776,1.1424426430984969,0.7717515463718315,0.04816847014619411,937.891323366707,1238.012567561661,3.6799089516328394,0.1470213672175707,0.09437035680581886,0.5696725551668478,0.005399748910010319,73479.2095916011,-421.4860882284462,1.0,88.03013913518457,2.836583850938047
6,14,38,Cs,Pb,I,5.9802561306198765,0.2656656784880171,0.7960472188803054,0.9255678978371343,0.2965676832081205,0.3745970000000014,0.501577139116671,0.5993881292840203,1.1424426431007162,0.64229962517582,0.009641453616417554,556.9668955594493,833.9659850824556,3.516475308605397,0.16943396519142212,0.15906131458064166,0.7044922991841974,0.008001497155854307,72249.93988810429,-3369.0578229091307,1.0,93.33860759688349,49.82843553719709
7,27,29,Cs,I,I,5.022802893737248,1.0026219801355631,0.4316743229198116,0.7590357926428357,0.18288550209215323,-0.1308203333333348,0.446918613130892,0.6802709606711866,1.1424426431007768,0.7747111431588634,0.0011710504255296916,638.9533894181878,997.9388013506076,4.001768988943734,0.005427639262867989,1.1850594590222285,0.6804545054566009,0.06465628798698783,73198.66380988524,-1522.0797513662105,1.0,94.71754680193257,64.03570296077035
5,15,34,Cs,Pb,I,5.261584396799243,0.7891151862109674,0.5186946873018526,1.4308674274243902,0.3813308992780926,0.40255133333333504,0.44727692751755904,0.6301941000301031,1.1424426431011137,0.6784752009455923,0.01592563726543185,921.2345977001816,1238.0033012833203,3.791860039190568,0.24538159713737923,0.5499229223768611,0.6505662089507649,0.02111614180488573,73367.45762603081,2099.4527406703514,1.0,102.97467346332849,5.091566039870918
5,30,32,Cs,I,I,4.925303735748912,1.0428484659098503,0.41459640987791563,1.4602358737953984,0.26595714752638316,-0.10286600000000116,0.42087561074866936,0.7110769314175224,1.1424426431011137,0.9000782342770794,0.008307680283075469,589.2610545567977,637.7700791757254,4.034040204911875,0.0008586307031269267,1.312030940706411,0.6636877684694115,0.1002825386134652,81807.48413237091,785.7679415481939,1.0,99.16621204065864,29.6937159080211
1,22,25,Cs,I,I,7.592303903777563,0.0061239210098144635,0.993615439389816,1.171589847212551,0.5144558778661146,-0.11700700000000097,0.4348310808286693,0.4166598401037169,1.1424426430984969,0.7725812748070268,0.0010298159590669271,442.216850074766,604.46589411425,4.107659494083299,0.03224201384042591,0.01776087231501535,0.017121147506766746,0.001460652156636123,85625.39280771064,-1131.7954443941196,1.0,86.75877096325685,37.587932986016035
3,22,27,Cs,I,I,7.518738724889693,0.016894392648380996,0.984347372534766,0.6721901631883304,0.16761033174891193,-0.11700700000000097,0.4348310808286693,0.4166598401044725,1.1424426431007055,0.8658576202333215,0.01571690753544066,458.868942605213,637.7700791740325,3.9957207433484907,0.004572716293675836,0.01847457719793736,0.013175154646302187,0.0013994683744280368,84193.13403084382,91.06283722316486,1.0,91.16741450319388,38.500846454671304
4,26,31,Cs,I,I,5.793872477391056,0.8091471548693608,0.518156282617395,1.464358734663497,0.26352112870017763,-0.1308203333333348,0.446918613130892,0.6802709606706295,1.1424426430986616,0.8787978313106388,0.004881268311261577,409.61495072508484,540.7520299312123,3.976926556319967,0.0007734654937912845,0.6581325258386348,0.7696659611841901,0.021016426075049034,77383.20493733778,-1689.3360744522977,1.0,96.74339392779277,34.67723615507866
0,18,24,Cs,I,I,5.0228140868177125,1.0026201349896968,0.43167512193478286,1.2918707328917378,0.42351870592855306,-0.1308203333333348,0.44691861313089193,0.6802709606714384,1.1424426431010772,0.7747111431588385,0.0011710504255385973,405.6692398693303,531.3706736988262,4.001770191684344,0.005427462046458686,1.185053858105608,0.6804545254030555,0.06465338207788131,73198.66380989402,-563.0876032420175,1.0,94.71763038275465,64.03568858573526
5,7,39,Cs,Cs,I,7.64600234836026,0.23972251599116676,0.8228718331708764,1.1763909406921476,0.6771551631291981,0.3346653333333336,0.4600834787555585,0.7641482562297844,1.1424426431011137,0.8445772172668712,0.01083403865039742,279.2227544210106,279.96780604170834,3.9386082910955524,0.00011044770462194141,0.08592266660671567,0.654216942320244,0.005163737104694142,176778.2771453738,-560.7129061313666,1.0,119.22947400522565,40.72999702335571
1,25,30,Cs,I,I,5.97384180492461,0.758742672951885,0.5417264080710561,1.2918707328916603,0.42351870592850743,-0.1308203333333348,0.446918613130892,0.6802709606706717,1.1424426430984969,0.7747111431588461,0.001171050425534247,410.360062219299,540.7523184033159,3.966417274185387,0.0014682992711574656,0.5575688583678564,0.7890028109813085,0.02251287278563192,73198.66380989479,-2680.609702636633,1.0,93.55661609964545,61.74148843348416
1,14,30,Cs,Pb,I,3.5640383592722156,1.152277643884102,0.3652612406308585,1.5511483131034682,0.2280214533712963,0.3887380000000012,0.47371812470867125,0.8938052205961337,1.1424426430984969,0.6954537726499802,0.012877252978133516,830.2579526038571,1119.7635868043983,3.6344844927107136,0.13708593248061868,2.1058783150614606,0.3241659314682831,0.7576110947142558,72645.10544513632,238.31357390253302,1.0,89.72166052523588,39.561084840427434
4,14,38,Cs,Pb,I,6.018006112060985,0.26251938675449127,0.7975174928606564,1.597455583633174,0.1844269118104402,0.3745970000000014,0.501577139116671,0.5993881292833354,1.1424426430986616,0.746386313327571,0.040916224262155125,556.221843938045,833.9659850824556,3.526984718894652,0.1781962549060258,0.15459953094037976,0.7011422465807651,0.007743525191066861,73185.97995271631,826.2998365961413,1.0,93.96576705293052,27.130972533225396
1,25,39,Cs,I,I,5.312185151712787,0.8977231060935104,0.47785323504950794,1.3381780034213628,0.4039370384659455,-0.1449613333333346,0.4600834787555585,0.3858538693578036,1.1424426430984969,0.8445772172668358,0.010834038650406469,279.2228387771488,279.967806035282,3.9386070947566196,0.00011042256042652305,0.900632934370371,0.7312476395867298,0.02330784954328613,78087.89040592694,2161.9074399107285,1.0,96.70855910278692,44.59871009167955
0,21,38,Cs,I,I,7.350890880526322,0.00650777916400152,0.993757423256468,1.5065431443251045,0.2307824198086407,-0.11700700000000097,0.4348310808286693,0.4166598401046622,1.1424426431010772,0.9699443083850505,0.00045285555041380443,458.1239753485953,637.7700791757616,4.00622895729861,0.0032619688555080495,0.019578877465194107,0.01616459241533523,0.0014881680379911415,87052.64928706901,22.54872482184102,1.0,87.14462932932983,7.314110426083091
13,20,29,Pb,I,I,0.40851071058779936,2.036956943010787,0.04935116537509168,1.1759760686858958,0.04171557211632379,-0.06293433333333336,0.4973119818275607,0.5463168044716363,0.8908107564252732,0.5671270847447027,0.0002204839912518139,1470.1465330036772,1702.2804984456932,3.280354307616003,0.00025988631080755653,2217.2001179293497,0.10318816732677309,-2132.3417205109918,33578.001464126806,96.88371076734165,1.0,65.2687997760944,14.536210169209273
5,11,27,Cs,Pb,I,6.018009862420064,0.26251491362542034,0.7975203192671306,1.5974555836331994,0.18442691181047208,0.3745970000000014,0.501577139116671,0.5993881292841211,1.1424426431011137,0.7463863133275681,0.0409162242621534,556.221928302015,833.9659850826458,3.526983522555482,0.17819524487900576,0.1545972358032352,0.7011386760367033,0.007743497136711538,73185.9799527136,-3280.933138196483,1.0,93.96580193270204,27.130929734830467
1,3,20,Cs,Cs,I,8.703708395269386,0.15851970034001225,0.8760115345716538,1.1722680798239595,0.6772166796572949,0.36261966666666723,0.40801579339755784,0.7949542269747928,1.1424426431007055,0.8979483659253371,0.008700476616061433,621.1179866442442,637.7700791717531,4.175281356625639,0.012530283916088958,0.03868272004509572,0.24751652187121645,0.0027718077025868978,186848.12578090825,3533.81746417419,1.0,82.23173727464328,3.058610744106695
