atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_atomic_incompatibility,variance_atomic_incompatibility,avg_bader_charge,variance_bader_charge,avg_vectorial_asymmetry,max_vectorial_asymmetry,avg_bond_alignment,variance_bond_alignment,avg_bond_gradient,max_bond_gradient,avg_bond_distance,variance_bond_distance,geometric_centroid_density,geometric_centroid_elf,geometric_centroid_laplacian_of_density,structural_tensor_product_trace,total_density_gradient_flux,point_group_reduction_factor,structure_tensor_normal_projection,hierarchical_stress_flow
0,10,24,Cs,Pb,Cl,5.705720873853069,0.15099402309657403,0.8622192380646257,1.01032123231049,0.06463304160761801,0.4740673333333317,0.7997925850942217,0.0188320842757811,0.0376614063634681,0.7802193068307975,0.04018010633812742,2568.0190032386845,4975.8237684994265,3.4208229515037565,0.2904547539186533,0.05498540454204517,0.2547494829184668,0.004881337530425785,49600.21563236142,21744.83340130306,0.75,86.95693978232538,0.028990767373209318
6,29,36,Cs,Cl,Cl,7.635447536534096,0.14778892937797714,0.8840113731072085,1.0123723322538105,0.06383922477167066,-0.21752566666666695,0.6021495986162225,0.024792537975080534,0.0376614065227549,0.9806690693310094,8.771770774221441e-20,1339.6904628859274,1339.6907394307968,3.9081929050593374,1.5762106607248085e-15,0.029804894275475693,0.13924316928412117,0.0033065915140641977,85721.32115973115,-1.6547697060926552e-09,0.75,66.43739713875918,0.03970092697617252
0,14,31,Cs,Pb,Cl,5.0566870065589935,0.22864186272656364,0.8202217103507365,1.2270798993753798,0.0877222540422755,0.4932683333333318,0.7529001205055549,2.7385567427610913,8.177532103575803,0.7690690127205038,0.04786421328001972,2613.393632246525,5167.620065680854,3.2168069019102044,0.12965119696642066,0.11666518261112997,0.5292883282264293,0.009544598637054596,24873.28824614848,689.1571273313261,0.6,71.7781277173313,0.47257444923886344
12,28,33,Pb,Cl,Cl,0.01694310203259386,2.184572654958499,0.002692270369176638,1.2696527113826466,0.10346340021536748,-0.03744633333333406,0.9058542078668856,5.791671797038283,8.687269982077515,0.9879502481453537,1.472215292033043e-10,4959.468055467695,5004.814309137903,2.85922636039026,3.718811518856191e-05,16323.8219469743,0.13569792499115507,-83228.69766086315,10114.704183096925,-4.828552983014786e-13,1.0,49.828047854069176,0.972827345081398
5,12,33,Cs,Pb,Cl,5.055442000251705,0.23006241802569405,0.8190925699180079,1.5551172014939567,0.39629888485715736,0.49108800000000014,0.7545302476026648,2.9081428863351113,8.687269982077515,0.768836505554988,0.04800551511127919,3400.31723323088,4914.121801797487,3.217331945675344,0.13264440151297718,0.11725777939210101,0.536293694286171,0.009554845864325307,24941.152226924372,-2624.0559005867717,0.75,71.79289756608803,3.0683862220779368
4,30,38,Cs,Cl,Cl,6.359682409283433,0.007786421334087292,0.9919659021746465,1.2377672148707903,0.07913751935786016,-0.19883399999999915,0.582336033193999,2.92356184049314,8.714666059259523,0.7646643910330602,0.04665802032684377,170.3701153772085,178.41139983114772,3.7422071011877875,0.027551274612265385,0.01941485232413088,0.012678665090471629,0.0019097032410847648,38858.51427930396,-216.9783582158173,0.6,79.94677895192235,0.027794657828528316
1,21,24,Cs,Cl,Cl,6.3666389409322255,0.46769588258986095,0.6876520246297536,1.5658045722219462,0.38070239446630066,-0.20050466666666603,0.580429631819558,2.914103353132143,8.687269982077304,0.5674238465155885,0.0003128989543328563,1842.330114640888,1886.5126646643605,3.7582764371340396,0.031237275133498926,0.21810202593932632,0.7388213253126882,0.019039008025536357,39041.77615960023,-10680.791146238787,0.75,79.96147321119487,2.9680145035136154
6,25,29,Cs,Cl,Cl,6.3604015922894295,0.4528798117037363,0.6959134364958673,1.2291309993187094,0.08603924982685851,-0.19832499999999934,0.5818160286139994,2.7445172023619793,8.177532121280565,0.7654795851998999,0.0463065142080791,1460.8346406369028,1581.979094932748,3.742535433807374,0.02744238462788989,0.20905959669823881,0.7293491110730493,0.018486974473842926,38911.762171558985,1646.496682856233,0.6,79.9366614631246,0.02779525781887091
1,10,24,Cs,Pb,Cl,5.6699978445705606,0.1493724179317992,0.8640991864382226,1.3383585344290632,0.5154195291320748,0.47292999999999924,0.7988720836026669,0.018505598554377268,0.0366819491992566,0.5824411716372793,7.137579827259605e-06,3386.985666558421,4975.8237684994265,3.4084507725907276,0.27727213655738037,0.05617754091901678,0.2622132224625489,0.004973574755924894,49596.02140601147,-10652.68102529867,0.75,87.2963371896897,0.028890552637574892
0,17,23,Cs,Cl,Cl,0.16543195490150842,2.1486927731015846,0.01388680791053779,1.0037360656303729,0.0668478578734669,-0.21752599999999944,0.6021499644179994,0.024792521973665133,0.0376614063634681,0.980669067244187,8.60013804615183e-25,161.2718192537218,162.32883092326898,3.9339772202187495,0.0006648328460549596,1110.2515964530305,0.27491640214376245,-2695.778816747054,85721.32021008203,-4.690562219826247e-11,0.75,66.43739713875917,0.05558718736077763
1,21,33,Cs,Cl,Cl,6.128600813341901,0.33856607440882974,0.7623107377141206,1.7825632392868445,0.16297995022902087,-0.18234666666666519,0.5605442491742235,5.803740637784692,8.687269982077515,0.5497348964525454,3.0814879110195774e-31,1886.512664664319,1886.5126646643605,3.5815357368595953,3.5991778800708664e-29,0.16196349696442955,0.6540202123722776,0.017917570858195727,21410.324111526083,20320.48865778411,0.75,61.99329805271188,4.756979999071679
0,9,19,Cs,Pb,Cl,5.056687201532492,0.22864185709687046,0.8202217171976149,1.2270798993753844,0.08772225404227169,0.4932666666666646,0.7528974029055541,2.738556736862075,8.177532103575825,0.7690690127241657,0.047864213281621354,2613.3968647959878,5167.62653077978,3.2168069558604353,0.1296511581145744,0.11666517168371425,0.5292882958544526,0.009544597999175286,24873.28824485129,898.3205243285412,0.6,71.77812750149468,0.4725745146697233
