site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
0,0.0,-0.15461297565455073,0.1546129756546448,0.15461297565455073,0.0,-0.15461297565453727,-0.1546129756546448,0.15461297565453727,0.0
1,0.0,-1.6517914686666003e-14,0.154612975654671,1.6517914686666003e-14,0.0,-0.1546129756543821,-0.154612975654671,0.1546129756543821,0.0
2,0.0,-0.154612975654456,-9.882254767847596e-14,0.154612975654456,0.0,-0.1546129756542768,9.882254767847596e-14,0.1546129756542768,0.0
3,0.0,1.7076394740072954e-14,2.547639720046373e-14,-1.7076394740072954e-14,0.0,-0.1546129756541754,-2.547639720046373e-14,0.1546129756541754,0.0
4,0.0,-0.15461297565465085,0.1546129756543373,0.15461297565465085,0.0,6.074899699483675e-14,-0.1546129756543373,-6.074899699483675e-14,0.0
5,0.0,7.194710013708298e-14,0.15461297565450013,-7.194710013708298e-14,0.0,-6.131032725565429e-14,-0.15461297565450013,6.131032725565429e-14,0.0
6,0.0,-0.15461297565464124,1.9603806017459204e-15,0.15461297565464124,0.0,-6.354994788410413e-14,-1.9603806017459204e-15,6.354994788410413e-14,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,-0.17762070187319767,-8.410685079418359e-14,0.17762070187319767,0.0,4.995263621033063e-14,8.410685079418359e-14,-4.995263621033063e-14,0.0
17,0.0,6.339035998102621e-14,0.1776207018727184,-6.339035998102621e-14,0.0,-3.7392568299196284e-14,-0.1776207018727184,3.7392568299196284e-14,0.0
18,0.0,-4.97104817556671e-14,-1.0874267770712708e-13,4.97104817556671e-14,0.0,-0.17762070187308235,1.0874267770712708e-13,0.17762070187308235,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.8900578864930898e-13,0.17762070187299578,1.8900578864930898e-13,0.0,-2.3954844528499216e-14,-0.17762070187299578,2.3954844528499216e-14,0.0
21,0.0,-9.494172225443501e-14,1.381754965794179e-13,9.494172225443501e-14,0.0,-0.17762070187304393,-1.381754965794179e-13,0.17762070187304393,0.0
22,0.0,-0.17762070187273038,1.6492986689347797e-13,0.17762070187273038,0.0,6.954931670926215e-14,-1.6492986689347797e-13,-6.954931670926215e-14,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,-8.610431696796946e-14,1.8452654739241023e-13,8.610431696796946e-14,0.0,-0.1776207018730876,-1.8452654739241023e-13,0.1776207018730876,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1.5701559844611994e-13,1.783675906641736e-13,-1.5701559844611994e-13,0.0,-0.17762070187302903,-1.783675906641736e-13,0.17762070187302903,0.0
28,0.0,-0.17762070187312232,-4.323377432498254e-14,0.17762070187312232,0.0,-2.943281887229006e-14,4.323377432498254e-14,2.943281887229006e-14,0.0
29,0.0,-6.258830036925075e-14,0.17762070187299914,6.258830036925075e-14,0.0,-4.734978389988601e-14,-0.17762070187299914,4.734978389988601e-14,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,6.961016340009748e-15,0.17762070187279164,-6.961016340009748e-15,0.0,5.79123856372341e-14,-0.17762070187279164,-5.79123856372341e-14,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,-0.17762070187289242,-1.1110337556290723e-13,0.17762070187289242,0.0,-8.156422902022226e-15,1.1110337556290723e-13,8.156422902022226e-15,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
