atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,site_symmetry_order,H0_persistence_max_death,H0_persistence_death_std,local_env_entropy,local_variational_free_energy,tensor_trace,tensor_determinant,tensor_eigenvalue_1,tensor_eigenvalue_2,tensor_eigenvalue_3,tensor_variance,structure_chemistry_incompatibility,charge_weighted_local_size,elf_weighted_local_anisotropy,lie_algebra_norm,lie_algebra_principal_angle
32,2.01,7.899435,1.232712,4,0.73,1.21,3,2,1.26683230871545,0.6531960000000012,-197.31353199926508,3149.738228039028,0.15072292018204303,0.0,2.213910882118822e-30,1.0587422852084873,0.8196264702116388,,0.015684863281751362,16.81119578270468,7.722230605448554,0.14466521872725524,0.5,1,4.186179173630457,0.03119864309180498,1.584962500721156,0.10103652293297849,23.16669181634566,429.2448823874468,9.186861621354547,8.451125256025605,5.528704938965505,2.495995424637856,0.7295892268141475,19.11179401131711,2.5338325201212957,0.23644758612567462,0.16719369154465474
32,2.01,7.899435,1.232712,4,0.73,1.21,3,2,1.2668418089130182,0.6531610000000008,-198.4930334772472,3735.990584149469,0.1486444535953501,0.0,2.233901857125536e-30,1.0587372118979048,0.8196422580002075,,0.01569094935120662,16.804509923177033,7.72223671369758,0.14482703805207386,0.5,1,4.1869093761323795,0.03154678381701048,1.584962500721156,0.10119492812968423,23.16671014109274,429.17269460420823,9.18827636063026,8.452236189260217,5.52619759120226,2.5015864360767455,0.7295892268141475,19.114193730323528,2.497897195468289,0.0,0.0
32,2.01,7.899435,1.232712,4,0.73,1.21,3,2,1.2673242969361456,0.6534739999999992,-197.32514439867845,3150.988485012004,0.1507171153406771,0.0,2.191152575624945e-30,1.0587204530162868,0.8197151591676156,,0.015645774279637186,16.81503077966606,7.721464867225149,0.14449970149933827,0.5,1,4.186101099190681,0.031264646109651295,1.584962500721156,0.10033992848225182,23.164394601675447,429.18768717235105,9.18291506388956,8.451154933016834,5.530324604769053,2.489793306400563,0.7295892268141475,14.992234956588474,2.5343129334759653,0.2146117126551946,0.1517533973405469
32,2.01,7.899435,1.232712,4,0.73,1.21,3,2,1.2673352109874063,0.6533979999999993,-198.50623107958617,3740.2314470332826,0.14863426018433185,0.0,2.2110070312737046e-30,1.0587155106232322,0.8197308709875087,,0.015651395049649044,16.808338310199936,7.721467876116332,0.1446616149292144,0.5,1,4.186831928301183,0.03161429450679787,1.584962500721156,0.10049654863087909,23.164403628348996,429.11507042646093,9.184334490007446,8.452253101676638,5.527816036664914,2.495378056221023,0.7295892268141475,14.9924634901222,2.49829492966453,0.0,0.0
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.0175620100029161,0.45943199999999995,-69.93212446931413,2.443875351837771,0.9939835309725408,0.0,2.148298983604484e-32,0.8120254438870047,0.0,,0.0,1.0792259393732635,1.0792259393732635,1.0,1.0,1,0.0,0.0,0.0,1.0175620100029161,1.0792259393732635,-4.522646662915701e-37,1.0792259393732633,6.938893903907228e-18,-2.220446049250313e-16,0.25882858404802284,0.7868594846912658,1.1142522172356233,1.0727328099353937,3.6634525179243878,2.5904521179792663
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9873074328468123,0.44412700000000005,-71.70736962694555,2.508976000605418,0.9920396343311144,0.0,7.419517217947299e-32,0.7934857964168549,0.0,,0.0,1.0987543661516441,1.0987543661516441,1.0,1.0,1,0.0,0.0,0.0,1.0126925671531877,1.0987543661516441,0.0,1.0987543661516441,1.0124511951036076e-17,3.75327585677838e-18,0.2682802571416225,0.7868594846912658,1.1344144391050963,1.0900078796167925,3.3278443786838063,2.3531413269008525
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.989105762711369,0.474638,-65.78245177249454,2.2101114921702836,0.9915909059344528,0.0,6.690166320302402e-32,0.7942194262998109,0.0,,0.0,1.0975720140104188,1.0975720140104186,0.9999999999999996,1.0,1,0.0,0.0,0.0,1.0108942372886305,1.0975720140104186,0.0,1.097572014010419,2.726983690913782e-16,-9.02040074290369e-18,0.2677031835419749,0.7868594846912658,1.1331937137251276,1.088342427700893,3.146731569356135,2.22507523126551
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.0994178671158195,0.12335700000000005,-65.41396970753185,2.5369486297210013,0.9981811946433303,0.0,3.4305699065590644e-32,0.8630133908424478,0.0,,0.0,1.2012271156041887,1.201227115604189,0.9999999999999997,1.0,1,0.0,0.0,0.0,1.099417867115819,1.201227115604189,-7.562904320498575e-34,1.2012271156041892,1.55135059353617e-16,-1.6357181275472526e-17,0.3206547962806133,0.7868594846912658,0.09620027355316195,1.199042317291751,2.7100116680610777,1.916267627580655
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1028073264106435,0.08489400000000002,-66.25153561952446,2.5699893292859026,0.9979388420343529,0.0,2.3323525147717506e-32,0.8639467012874551,0.0,,0.0,1.199136307449709,1.199136307449709,1.0,1.0,1,0.0,0.0,0.0,1.1028073264106435,1.199136307449709,0.0,1.1991363074497092,2.7755575615628914e-17,-2.220446049250313e-16,0.3195395297431386,0.7868594846912658,0.09603283118211044,1.1966646980977125,2.906878045304624,2.0554731779171957
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.10090125181638,0.12010600000000005,-63.653818019210874,2.4342053046690415,0.9984761941628761,0.0,4.354463424496411e-32,0.8626764751247273,0.0,,0.0,1.2003110646825061,1.2003110646825061,1.0,1.0,1,0.0,0.0,0.0,1.10090125181638,1.2003110646825061,-4.05524924498178e-34,1.2003110646825061,3.1064276780358786e-17,-1.718648897254433e-17,0.32016592266650035,0.7868594846912658,0.096126911615099,1.1984820236757785,2.74896275024971,1.9438102019307915
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.0185655590262164,0.455715,-70.24957017365864,2.4632921281193765,0.9940690097825922,0.0,2.0979190354150226e-32,0.8120518812182184,0.0,,0.0,1.0785911237045263,1.0785911237045263,1.0,1.0,1,0.0,0.0,0.0,1.0185655590262164,1.0785911237045263,-2.2592977253098515e-37,1.0785911237045265,3.469446951953614e-18,0.0,0.2585241804742651,0.7868594846912658,1.1159675419142596,1.0721940103012517,3.759179127107313,2.6581410524725078
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9871899687704259,0.44906900000000005,-71.24558359852584,2.487229679443589,0.9921649272519224,0.0,7.407334679549085e-32,0.7935346715583746,0.0,,0.0,1.0988316926127861,1.0988316926127861,1.0,1.0,1,0.0,0.0,0.0,1.012810031229574,1.0988316926127861,0.0,1.0988316926127863,4.189299506337048e-17,1.3618156167887346e-17,0.2683180197089513,0.7868594846912658,1.1369095072568975,1.0902222663632717,3.1755360472928165,2.245443072943076
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9889494755615693,0.476294,-65.72337482311889,2.2077962540042586,0.9915839157136341,0.0,6.708597932970715e-32,0.7942855821559398,0.0,,0.0,1.0976746579252223,1.0976746579252221,1.0,1.0,1,0.0,0.0,0.0,1.0110505244384307,1.0976746579252221,-3.702489441454912e-34,1.0976746579252223,6.071889490117346e-17,-3.2963319285544564e-17,0.26775325658916754,0.7868594846912658,1.1357123778463054,1.0884365354851158,3.1996329661902605,2.2624821677011604
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.0998490153001734,0.12310600000000005,-65.38843352998478,2.536371514193286,0.9981793032756241,0.0,3.430108300924001e-32,0.863175519234884,0.0,,0.0,1.2009607005269378,1.2009607005269378,1.0,1.0,1,0.0,0.0,0.0,1.0998490153001734,1.2009607005269378,0.0,1.2009607005269376,7.191328137442683e-17,1.1353445472459912e-17,0.3205125787133672,0.7868594846912658,0.09235988267402415,1.1987741153133842,2.7508741349128907,1.9451617549875826
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1016975079232851,0.08882500000000004,-66.21111559135049,2.566426749936374,0.9979564752436219,0.0,2.3479982691801504e-32,0.8634457742218639,0.0,,0.0,1.199819996757263,1.1998199967572627,0.9999999999999997,1.0,1,0.0,0.0,0.0,1.101697507923285,1.1998199967572627,0.0,1.199819996757262,2.8310738875918925e-16,-1.0963504116151056e-16,0.3199040054707991,0.7868594846912658,0.0922721568506173,1.197368134890692,2.873350923467649,2.031765922712603
