site1_index,site2_index,site1_element,site2_element,image_x,image_y,image_z,bond_distance,site1_coord_num,site2_coord_num,local_3_cycle_count,local_4_cycle_count,continuous_ionic_character_en,continuous_ionic_character_charge,delta_electronegativity,avg_electronegativity,delta_bader_charge,avg_bader_charge,delta_electron_density,avg_electron_density,delta_elf,avg_elf,delta_local_dos_fermi,avg_local_dos_fermi,delta_local_environment_anisotropy,avg_local_environment_anisotropy,delta_symmetry_breaking_quotient,avg_symmetry_breaking_quotient,delta_structure_chemistry_incompatibility,avg_structure_chemistry_incompatibility,delta_lie_algebra_norm,avg_lie_algebra_norm,delta_lie_algebra_principal_angle,avg_lie_algebra_principal_angle,delta_local_variational_free_energy,avg_local_variational_free_energy,density_at_midpoint,density_laplacian_at_midpoint,potential_at_midpoint,density_gradient_at_midpoint,lie_incompatibility,tensor_alignment,local_quotient_orbit_size,local_bond_stabilizer_size,symplectic_coupling,align_proj_u1,align_proj_u2,align_proj_u3,align_proj_v1,align_proj_v2,align_proj_v3
0,41,Ge,I,1,-1,0,2.7245521618375332,3,1,0,0,0.1002380044323462,1.1007980000000046,0.6500000000000004,2.335,1.1007980000000046,0.10279699999999892,1879.1147494057764,2210.18085333614,0.03485571799037909,0.16815077917723253,1.6588437545525937e-30,1.3844890048425255e-30,0.8553347812727448,0.5723326093636276,0.5,0.75,0.009948714871802822,0.7345635842500489,0.2364475861256746,0.1182237930628373,0.1671936915446547,0.08359684577232734,1.4012789782144954,0.8016760120402261,0.40772107935810004,0.00566109564211514,1.13033352564607,0.00564675738575401,18.171795306124928,0.5758762727399983,2,1,0.0004215636638889133,1.6193784379926182,0.5724911070100762,2.1149590751436644,1.9359513991901167e-15,1.6375789613221059e-15,2.7245521618375346
0,34,Ge,I,0,0,0,2.779811762315249,3,1,0,0,0.1002380044323462,1.1284500000000008,0.6500000000000004,2.335,1.1284500000000008,0.0889710000000008,1883.0741090797878,4091.275282578922,0.02630553137484959,0.1638756858694678,2.8987336842854466e-32,2.2284045505402497e-30,0.8553347812727448,0.5723326093636276,0.5,0.75,0.009948714871802822,0.7345635842500489,0.10507909694612619,0.1839080376526115,0.07430214201156449,0.13004262053887244,1.4825371483704952,0.842305097118226,0.37049724560011743,0.00414272785302437,0.5105658932209901,0.0027723715910182114,13.149371571824828,0.5831344524779845,2,1,0.00040348790972653456,1.2168020309612952,2.3477110892793447,0.8573207641422597,2.7321894746634712e-17,3.469446951953614e-17,2.77981176231525
0,39,Ge,I,0,-1,0,2.8312813176838976,3,1,0,0,0.1002380044323462,1.1386910000000015,0.6500000000000004,2.335,1.1386910000000015,0.08385050000000052,1729.6344825465585,2284.9209867657487,0.029243837949381096,0.16534483915673354,3.7575670868931406e-31,2.0260325277741653e-30,0.8553347812727448,0.5723326093636276,0.5,0.75,0.009948714871802822,0.7345635842500489,0.2364475861256746,0.1182237930628373,0.1671936915446547,0.08359684577232734,1.5462419959006257,0.8741575208832912,0.34250902316578796,0.006611468147855295,0.005807960186657727,0.002700174503783983,15.055682914563928,0.6077007993009643,2,1,0.0003845405381403664,1.1940315033442617,1.6160544018363903,1.99469567583442,1.609823385706477e-15,1.1102230246251565e-15,2.831281317683898
1,38,Ge,I,1,-1,1,2.724455102597873,3,1,0,0,0.1002380044323462,1.1008040000000001,0.6500000000000004,2.335,1.1008040000000001,0.10275900000000074,2468.131810738336,2501.9246787803013,0.03694308706599739,0.1671159971283488,1.6723764741775475e-30,1.3977136200367625e-30,0.8551729619479262,0.5724135190260369,0.5,0.75,0.009948714871802822,0.7345635842500489,0.0,0.0,0.0,0.0,1.4009647264312421,0.8016772913453053,0.40779079195385626,0.008311101267582026,1.1295515541683305,0.005640321448865528,18.19309371702189,0.5758972997718912,1,1,0.0006055386300471914,1.619276527658559,0.5675135509239723,2.1162531754408054,2.2967738821932926e-15,2.498001805406602e-16,2.7244551025978736
1,37,Ge,I,0,0,0,2.7799729736108296,3,1,0,0,0.1002380044323462,1.1287839999999996,0.6500000000000004,2.335,1.1287839999999996,0.08876900000000099,2642.1118551744994,2414.9346565622195,0.03434098779527339,0.1658149474929868,4.2381407336524827e-32,2.255092560793799e-30,0.8551729619479262,0.5724135190260369,0.5,0.75,0.009948714871802822,0.7345635842500489,0.0,0.0,0.0,0.0,1.4825952437392156,0.842492549999292,0.3700761328924803,0.003454769434054047,0.5081094195505474,0.0028835981858431193,13.173596537175595,0.5832345509766929,1,1,0.00213294509227512,1.216680810306466,2.3454687095372995,0.8641261901019297,6.938893903907228e-18,3.122502256758253e-17,2.7799729736108296
1,42,Ge,I,0,-1,0,2.8312196666833387,3,1,0,0,0.1002380044323462,1.138582000000003,0.6500000000000004,2.335,1.138582000000003,0.08386999999999922,2317.837760059611,2577.071704119664,0.031328692854688284,0.16430880002269427,3.890323818689288e-31,2.0393856661910717e-30,0.8551729619479262,0.5724135190260369,0.5,0.75,0.009948714871802822,0.7345635842500489,0.0,0.0,0.0,0.0,1.5460134365274736,0.874201646393421,0.342528677469424,0.006605827851985619,0.006825577349067274,0.002700346428451995,15.057568248713288,0.6076620048364274,1,1,0.00038415667754658305,1.193243028057696,1.6214009656341386,1.990737246762336,5.551115123125783e-17,2.0539125955565396e-15,2.831219666683337
2,35,Ge,I,1,0,0,2.724570688989667,3,1,0,0,0.1002380044323462,1.1011699999999998,0.6500000000000004,2.335,1.1011699999999998,0.10288899999999937,256.3227187063094,3279.1498443651585,0.030670443909938394,0.1660523372956463,1.643875862645762e-30,1.369214644302064e-30,0.8555002985006618,0.572249850749669,0.5,0.75,0.009948714871802822,0.7345635842500489,0.0592300890263375,0.18499666814202587,0.041881997600806214,0.13081239854014381,1.4020053158939108,0.8013425864292071,0.4077090325681444,0.003311528062827923,1.1327570773549718,0.005641960994674213,18.14483983724067,0.5758753149904333,2,1,0.000574984604960751,1.6191217053682507,0.5705056307310281,2.1157158759652073,9.71445146547012e-17,2.0816681711721685e-17,2.724570688989667
2,40,Ge,I,0,0,0,2.7796364552349315,3,1,0,0,0.1002380044323462,1.1286069999999988,0.6500000000000004,2.335,1.1286069999999988,0.08917049999999982,1878.2543518066755,4090.1156609153413,0.02631657173799118,0.1638754012096727,4.1376528402383173e-32,2.2118408398261366e-30,0.8555002985006618,0.572249850749669,0.5,0.75,0.009948714871802822,0.7345635842500489,0.08337288217128369,0.17292527156955276,0.058953530350381714,0.12227663216535606,1.4829981843391575,0.8418390206518305,0.37063135285273047,0.0041347258394962534,0.5142497543751267,0.00277255594706533,13.153538746975645,0.5831562962419031,2,1,0.00040325921778952805,1.2182371345898706,2.3454769292689512,0.860822328616287,2.949029909160572e-17,2.7755575615628914e-17,2.77963645523493
2,33,Ge,I,0,0,0,2.8310299078432224,3,1,0,0,0.1002380044323462,1.1398150000000022,0.6500000000000004,2.335,1.1398150000000022,0.0835664999999981,591.0495275630378,3446.5132487935225,0.025296218657609892,0.16336522466948206,3.8960895721521665e-31,1.9963480970173367e-30,0.8555002985006618,0.572249850749669,0.5,0.75,0.009948714871802822,0.7345635842500489,0.1112319296918276,0.1589957478092808,0.07865285176955661,0.1124269714557686,1.5466524173840293,0.8736661371742663,0.34258317159592006,0.004880588873807197,0.0009422970595601497,0.0026947423898321336,15.023048578599996,0.6076050667604732,2,1,0.0003282542572039822,1.1935944838514967,1.6200050100503132,1.9913930587992832,5.551115123125783e-16,5.551115123125783e-17,2.831029907843223
3,32,Ge,I,1,0,1,2.724474564990271,3,1,0,0,0.1002380044323462,1.1012030000000017,0.6500000000000004,2.335,1.1012030000000017,0.10279649999999843,340.8632870630345,3569.7998035017654,0.03275880170376022,0.1650136610362119,1.6573482785524355e-30,1.3823328919974872e-30,0.8553383850707856,0.5723308074646072,0.5,0.75,0.009948714871802822,0.7345635842500489,0.1555674202192827,0.07778371010964134,0.110002777768752,0.055001388884376,1.4016943603171717,0.8013437287894649,0.4077781172000256,0.005954253506948339,1.1319575902230372,0.005635518732488311,18.166179141277983,0.5758969303594076,1,1,0.0007185268468561502,1.6190192218517532,0.5654790756129174,2.1170195628754693,1.9220736113823023e-15,1.8735013540549517e-15,2.7244745649902726
3,43,Ge,I,0,0,0,2.7797972182243247,3,1,0,0,0.1002380044323462,1.1285089999999975,0.6500000000000004,2.335,1.1285089999999975,0.08914350000000049,2646.3492212978745,2417.0568363843454,0.034354632928122714,0.16581157664839313,5.469397967852222e-32,2.238354021112966e-30,0.8553383850707856,0.5723308074646072,0.5,0.75,0.009948714871802822,0.7345635842500489,0.0,0.0,0.0,0.0,1.4830575849807692,0.8420253411212637,0.3702092242296496,0.0034446445340380514,0.5117601776761003,0.0028839067759227183,13.177760937734622,0.5832564867039469,1,1,0.002133994174447741,1.2181137232209405,2.3432064587755694,0.8676721865433814,2.42861286636753e-17,3.469446951953614e-17,2.7797972182243242
3,36,Ge,I,0,0,0,2.8309661599217972,3,1,0,0,0.1002380044323462,1.1398229999999963,0.6500000000000004,2.335,1.1398229999999963,0.08348650000000113,3.744370399357649,3738.359261833604,0.027382924717228113,0.16232572254294586,4.031121051653878e-31,2.009450978691011e-30,0.8553383850707856,0.5723308074646072,0.5,0.75,0.009948714871802822,0.7345635842500489,0.1074784878954014,0.0537392439477007,0.0759987676225145,0.03799938381125725,1.5464231978220144,0.8737081475418863,0.34260381345316154,0.0048743220396859355,7.097005493566328e-05,0.002694924486662107,15.024915975018176,0.6075656234318254,1,1,0.0003280169371545221,1.1928083472378435,1.6253830343254663,1.9873871382066035,3.885780586188048e-16,1.6653345369377348e-16,2.8309661599217977
