site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
0,70.77241726530777,1.4210854715202004e-14,2.1523015184159306e-15,1.4210854715202004e-14,70.77241726530777,3.552713678800501e-15,2.1523015184159306e-15,3.552713678800501e-15,70.77241726530775
1,70.77241726530775,1.4210854715202004e-14,0.0,1.4210854715202004e-14,70.77241726530777,0.0,0.0,0.0,70.77241726530772
2,70.77241726530777,1.0658141036401503e-14,7.105427357601002e-15,1.0658141036401503e-14,70.77241726530772,6.412460696599251e-15,7.105427357601002e-15,6.412460696599251e-15,70.77241726530777
3,70.77241726530777,1.2434497875801753e-14,3.552713678800501e-15,1.2434497875801753e-14,70.77241726530772,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002505e-15,70.77241726530772
4,70.77241726530774,1.4165229718088312e-14,6.412460696599252e-15,1.4165229718088312e-14,70.77241726530777,7.105427357601002e-15,6.412460696599252e-15,7.105427357601002e-15,70.77241726530777
5,70.77241726530774,1.4165229718088314e-14,1.7763568394002505e-15,1.4165229718088314e-14,70.77241726530777,0.0,1.7763568394002505e-15,0.0,70.77241726530772
6,70.77241726530774,1.2434497875801753e-14,4.8541281144542205e-15,1.2434497875801753e-14,70.77241726530772,5.329070518200751e-15,4.8541281144542205e-15,5.329070518200751e-15,70.77241726530777
7,70.77241726530774,1.2434497875801753e-14,8.881784197001254e-15,1.2434497875801753e-14,70.77241726530772,9.747150118144531e-15,8.881784197001254e-15,9.747150118144531e-15,70.77241726530774
8,17.69310431632693,2.6417227605435297e-15,1.320861380271765e-15,2.6417227605435297e-15,17.69310431632693,1.3208613802717648e-15,1.320861380271765e-15,1.3208613802717648e-15,17.69310431632693
9,17.69310431632693,2.6417227605435297e-15,0.0,2.6417227605435297e-15,17.69310431632693,0.0,0.0,0.0,17.693104316326938
10,17.69310431632693,2.6417227605435304e-15,1.320861380271765e-15,2.6417227605435304e-15,17.693104316326938,1.320861380271765e-15,1.320861380271765e-15,1.320861380271765e-15,17.69310431632693
11,17.69310431632693,2.6417227605435304e-15,5.283445521087061e-15,2.6417227605435304e-15,17.693104316326938,5.283445521087062e-15,5.283445521087061e-15,5.283445521087062e-15,17.693104316326938
12,17.693104316326938,5.283445521087059e-15,1.3208613802717646e-15,5.283445521087059e-15,17.69310431632693,1.3208613802717648e-15,1.3208613802717646e-15,1.3208613802717648e-15,17.69310431632693
13,17.693104316326938,5.283445521087059e-15,5.283445521087065e-15,5.283445521087059e-15,17.69310431632693,5.283445521087059e-15,5.283445521087065e-15,5.283445521087059e-15,17.693104316326938
14,17.693104316326938,0.0,1.3208613802717654e-15,0.0,17.693104316326938,1.3208613802717654e-15,1.3208613802717654e-15,1.3208613802717654e-15,17.69310431632693
15,17.693104316326938,0.0,0.0,0.0,17.693104316326938,0.0,0.0,0.0,17.693104316326945
16,35.38620863265386,7.105427357601002e-15,2.1667803567969995e-15,7.105427357601002e-15,35.38620863265386,2.166780356796999e-15,2.1667803567969995e-15,2.166780356796999e-15,17.69310431632694
17,35.38620863265386,2.6417227605435304e-15,0.0,2.6417227605435304e-15,17.69310431632694,1.3208613802717648e-15,0.0,1.3208613802717648e-15,35.38620863265386
18,17.69310431632694,5.690536358835358e-15,1.320861380271765e-15,5.690536358835358e-15,35.38620863265386,1.7763568394002505e-15,1.320861380271765e-15,1.7763568394002505e-15,35.38620863265386
19,35.38620863265386,7.105427357601002e-15,2.64172276054353e-15,7.105427357601002e-15,35.38620863265386,2.6417227605435297e-15,2.64172276054353e-15,2.6417227605435297e-15,17.69310431632693
20,35.38620863265386,2.6417227605435304e-15,0.0,2.6417227605435304e-15,17.69310431632694,0.0,0.0,0.0,35.386208632653876
21,17.69310431632694,5.690536358835358e-15,0.0,5.690536358835358e-15,35.38620863265386,0.0,0.0,0.0,35.386208632653876
22,35.38620863265386,5.329070518200751e-15,2.1667803567969995e-15,5.329070518200751e-15,35.386208632653876,2.166780356797001e-15,2.1667803567969995e-15,2.166780356797001e-15,17.69310431632694
23,35.38620863265386,2.64172276054353e-15,3.552713678800501e-15,2.64172276054353e-15,17.69310431632693,1.320861380271765e-15,3.552713678800501e-15,1.320861380271765e-15,35.386208632653855
24,17.69310431632694,5.690536358835363e-15,1.320861380271765e-15,5.690536358835363e-15,35.386208632653876,5.329070518200751e-15,1.320861380271765e-15,5.329070518200751e-15,35.386208632653855
25,35.38620863265386,7.105427357601002e-15,2.64172276054353e-15,7.105427357601002e-15,35.386208632653876,2.64172276054353e-15,2.64172276054353e-15,2.64172276054353e-15,17.69310431632693
26,35.38620863265386,2.64172276054353e-15,3.552713678800501e-15,2.64172276054353e-15,17.69310431632693,0.0,3.552713678800501e-15,0.0,35.386208632653876
27,17.69310431632694,5.690536358835363e-15,5.9164567891575885e-31,5.690536358835363e-15,35.386208632653876,1.7763568394002505e-15,5.9164567891575885e-31,1.7763568394002505e-15,35.386208632653876
28,35.38620863265389,8.881784197001252e-15,2.1667803567970015e-15,8.881784197001252e-15,35.38620863265386,2.1667803567969995e-15,2.1667803567970015e-15,2.1667803567969995e-15,17.69310431632694
29,35.386208632653876,0.0,5.329070518200751e-15,0.0,17.69310431632694,1.3208613802717648e-15,5.329070518200751e-15,1.3208613802717648e-15,35.38620863265386
30,17.69310431632693,5.283445521087059e-15,1.320861380271765e-15,5.283445521087059e-15,35.38620863265386,5.329070518200751e-15,1.320861380271765e-15,5.329070518200751e-15,35.38620863265386
31,35.38620863265389,8.881784197001252e-15,2.64172276054353e-15,8.881784197001252e-15,35.38620863265386,2.6417227605435297e-15,2.64172276054353e-15,2.6417227605435297e-15,17.69310431632693
32,35.386208632653876,0.0,1.7763568394002505e-15,0.0,17.69310431632694,0.0,1.7763568394002505e-15,0.0,35.386208632653876
33,17.69310431632693,5.283445521087059e-15,-7.888609052210118e-31,5.283445521087059e-15,35.38620863265386,3.552713678800501e-15,-7.888609052210118e-31,3.552713678800501e-15,35.386208632653876
34,35.38620863265388,1.7763568394002505e-15,2.1667803567970015e-15,1.7763568394002505e-15,35.386208632653876,2.166780356797001e-15,2.1667803567970015e-15,2.166780356797001e-15,17.69310431632694
35,35.38620863265389,5.283445521087059e-15,0.0,5.283445521087059e-15,17.69310431632693,0.0,0.0,0.0,35.38620863265386
36,17.693104316326934,5.28344552108706e-15,0.0,5.28344552108706e-15,35.386208632653876,0.0,0.0,0.0,35.38620863265386
