site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
0,35.242172911085476,-1.5730586078177566e-07,-3.911489590002759e-07,-1.5730586078177566e-07,55.689959117908785,-1.2669478010367596,-3.911489590002759e-07,-1.2669478010367596,54.72415001673306
1,35.242173423764186,-3.886512462969449e-07,3.958111394197772e-07,-3.886512462969449e-07,55.68995683675411,-1.2669472152038113,3.958111394197772e-07,-1.2669472152038113,54.72415143731294
2,35.24217346987787,-1.8254751399382485e-07,-1.1882259265405537e-07,-1.8254751399382485e-07,55.68995682015603,1.2669487503809709,-1.1882259265405537e-07,1.2669487503809709,54.7241494451268
3,35.24217362119062,-1.2408784755280067e-07,-1.0681388884492549e-08,-1.2408784755280067e-07,55.68996034595116,1.2669471056935722,-1.0681388884492549e-08,1.2669471056935722,54.72415087606731
4,35.24217285417448,1.8505818388803164e-07,3.6008394621589446e-07,1.8505818388803164e-07,55.689958549006676,-1.266947068987645,3.6008394621589446e-07,-1.266947068987645,54.724149843821365
5,35.24217186644685,2.7371437283374433e-08,-4.332301930531912e-07,2.7371437283374433e-08,55.689957151464135,-1.2669481497548762,-4.332301930531912e-07,-1.2669481497548762,54.72415206246912
6,35.242172628158485,-2.4670320786235322e-09,3.5158289257708475e-07,-2.4670320786235322e-09,55.68995703144005,1.266948826273775,3.5158289257708475e-07,1.266948826273775,54.72414908466454
7,35.24217246729002,2.426903796814983e-07,-2.788185027302603e-07,2.426903796814983e-07,55.68996048769386,1.2669467176544966,-2.788185027302603e-07,1.2669467176544966,54.72415102611781
8,35.24217358673859,1.0708281417137755e-07,-2.2165535207285814e-07,1.0708281417137755e-07,55.6899583786409,-1.266948382712643,-2.2165535207285814e-07,-1.266948382712643,54.72415083100714
9,35.24217406178752,1.9734857659159388e-07,-2.4612265114853926e-08,1.9734857659159388e-07,55.68995662912861,-1.2669475493688895,-2.4612265114853926e-08,-1.2669475493688895,54.72415176807114
10,35.2421732539622,-3.242753465748649e-08,-2.1333046018590096e-07,-3.242753465748649e-08,55.68995679184269,1.2669483100968124,-2.1333046018590096e-07,1.2669483100968124,54.72415077937914
11,35.24217326351791,1.0819706292020115e-07,1.7578402800033643e-07,1.0819706292020115e-07,55.68996043513562,1.2669468325626814,1.7578402800033643e-07,1.2669468325626814,54.7241515252193
12,23.49478252423609,2.663353410809014e-08,-1.2258069317540597e-08,2.663353410809014e-08,19.381714379265638,-0.33901682896266294,-1.2258069317540597e-08,-0.33901682896266294,21.444610468631627
13,23.49478257035371,1.0992579885139441e-07,1.0775717072688397e-07,1.0992579885139441e-07,19.38171123679393,-0.33901655803323205,1.0775717072688397e-07,-0.33901655803323205,21.444610209126445
